No,Judul Inovasi,Pemda,Admin OPD,Inisiator,Nama Inisiator,Bentuk Inovasi,Jenis,Asta Cipta,Urusan Utama,Urusan lain yang beririsan,Kematangan,Tahapan Inovasi,Tanggal Input,Tanggal Penerapan,Tanggal Pengembangan,Koordinat,Video,Link Video,lat,lon,Admin OPD Grouped
421,Terangi Rumahku,Provinsi Jawa Timur,Dinas Energi dan Sumber Daya Mineral Provinsi Jawa Timur (jatimprov.esdm),OPD,Harsilo,Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,Membangun dari desa dan dari bawah untuk pemerataan ekonomi dan pemberantasan kemiskinan.,perumahan rakyat dan kawasan permukiman,"ketenteraman, ketertiban umum, dan pelindungan masyarakat,sosial,pemberdayaan masyarakat dan Desa,energi dan sumber daya mineral",69,Penerapan,2025-07-17,2024-05-06,2024-10-07,"-7.256353663340722, 112.71982175767181",Ada,https://res5.tuxedovation.com/84a8627d2788a45c80655ec2788abbd0848ec7b5.mp4,-7.256353663340722,112.7198217576718,Dinas Energi Dan Sumber Daya Mineral Provinsi Jawa Timur (Jatimprov
422,SRIKANDI JAWARA ( Skrening Deteksi Dini Kesehatan Jiwa Anak dan Remaja ),Provinsi Jawa Timur,Rumah Sakit Jiwa Menur Surabaya (jatimprov.rsjiwamenur),OPD,Drg. Vitra Dewi MSi ( Direktur RS Jiwa Menur ),Inovasi pelayanan publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",kesehatan,,102,Penerapan,2025-07-17,2024-01-09,,"-7.281286173355396, 112.76224119435972",Ada,https://res5.tuxedovation.com/9355de36b49af351866c24121fe09d79e5ef9881.mp4,-7.281286173355396,112.76224119435972,Rumah Sakit Jiwa Menur Surabaya (Jatimprov
423,RASA SAGU ( RANGKAIAN PROSA SEMUA GURU),Provinsi Jawa Timur,SMKN 1 Rengel Tuban (iga2025.smkn1.rengel.tuban),ASN,"TRI ERNI HUDAYAH, S. Pd., M. Pd.",Inovasi pelayanan publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,perpustakaan,107,Penerapan,2025-07-17,2023-08-30,2023-10-01,Lat -7.054327° Long 112.033387°,Ada,https://drive.google.com/drive/folders/1rW3oQsyRJj0z_Dq3lhAFigv9IdS-h2HK,,,Dinas Pendidikan
424,Recycle Limbah Botol Infus Plastik Terdisinfeksi (REL BOOSTER),Provinsi Jawa Timur,Dinas Kesehatan UPT. RSK Sumberglagah Mojokerto (jatimprov.dinkes.uptsumberglagahmjk),OPD,dr NINIS HERLINA KIRANASARI,Inovasi pelayanan publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",kesehatan,lingkungan hidup,111,Penerapan,2025-07-17,2023-06-21,2024-11-20,"-7.6073481386865165, 112.54079798231186",Ada,https://res5.tuxedovation.com/bf8075de55d5980ade697eefdf0aa6d57420ef93.mp4,-7.607348138686516,112.54079798231186,Dinas Kesehatan Upt
425,Sistem Perencanaan Dan Penganggaran Kebutuhan Barang Unit  (SI PERIANG RATU),Provinsi Jawa Timur,Dinas Kesehatan UPT. RSK Sumberglagah Mojokerto (jatimprov.dinkes.uptsumberglagahmjk),OPD,dr NINIS HERLINA KIRANASARI,Inovasi pelayanan publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",kesehatan,Keuangan,111,Penerapan,2025-07-17,2023-06-21,2024-11-20,"-7.6073481386865165, 112.54079798231186",Ada,https://res5.tuxedovation.com/b3d9322d58f3d4bb96a164dc7563e81ecc7c34de.mp4,-7.607348138686516,112.54079798231186,Dinas Kesehatan Upt
426,REFA ( REBORN FASHION ) BAJU REJECT MENJADI GAUN BERNILAI TINGGI,Provinsi Jawa Timur,SMKN 1 Rengel Tuban (iga2025.smkn1.rengel.tuban),ASN,"TRI ERNI HUDAYAH, S. Pd., M. Pd.",Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,pariwisata,109,Penerapan,2025-07-17,2023-05-08,2023-08-02,Lat -7.054327° Long 112.033387°,Ada,https://youtu.be/qvHM2_5_M64?si=hXHsBXcjKT1147V2,,,Dinas Pendidikan
427,SISTEM INFORMASI DAILY AND WEEKLY OPERATION REPORT (SI DWOR),Provinsi Jawa Timur,Dinas Kesehatan UPT. RSK Daha Husada Kediri (jatimprov.dinkes.uptdahahusadakediri),ASN,"Nuzul Dwi Utami, DCN.,M.Gz.RD",Inovasi pelayanan publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",kesehatan,"statistik,Penelitian dan Pengembangan",107,Penerapan,2025-07-17,2023-01-31,,"-7.81076270198588, 111.9973683",Ada,https://www.youtube.com/watch?v=-Ov_GmbDtok&t=7s,-7.81076270198588,111.9973683,Dinas Kesehatan Upt
428,"""KOSMO"" KOMPOSTER SAMPAH ORGANIK",Provinsi Jawa Timur,SMKN 1 Jiwan Kab. Madiun (iga2025.smkn1jiwankabmadiun),OPD,TITIK ROESMIATI,Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,"Memperkuat penyelarasan kehidupan yang harmonis dengan lingkungan, alam, dan budaya, serta peningkatan toleransi antarumat beragama untuk mencapai masyarakat yang adil dan makmur.",pendidikan,lingkungan hidup,24,Penerapan,2025-07-17,2024-08-12,,"-7.602412170931627, 111.51124149073954",Tidak Ada,-,-7.602412170931627,111.51124149073954,Dinas Pendidikan
429,LIMANTRA (Lilin Minyak Jelantah Aromateraphy) Sebagai Upaya yang Tepat Dalam Pengelolaan Limbah Cair Ramah Lingkungan Untuk Mengendalikan Kerusakan Ekosistem,Provinsi Jawa Timur," SMKN 2 DONOREJO, KAB. PACITAN  (jatimprov.dispendik.smkn2donorejo)",Masyarakat,VARIDA S.Pd,Inovasi Daerah lainnya sesuai dengan Urusan Pemerintahan yang menjadi kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,Penelitian dan Pengembangan,109,Penerapan,2025-07-17,2024-11-10,2024-12-13,"8°11'29.2""S 110°55'59.5""E",Ada,https://drive.google.com/file/d/1OA_XmmT6uirZHazM8HYktsOB2ccfK5DI/view?usp=sharing,,,Dinas Pendidikan
430,SAPA ORTU,Provinsi Jawa Timur,SMAN 1 Ngronggot Nganjuk (iga2025.sman1ngronggotnganjuk),ASN,"Dr. Priyanti Rusanti S., S.Sos., M.Pd.",Inovasi pelayanan publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",pendidikan,"pemberdayaan perempuan dan pelindungan anak,pengendalian penduduk dan keluarga berencana,Pendidikan dan Pelatihan",15,Penerapan,2025-07-17,2025-01-13,2025-07-17,"-7.703366, 112.047102",Tidak Ada,-,-7.703366,112.047102,Dinas Pendidikan
